Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018",Number of discharges 2017,25th percentile 2017,Median 2017,75th percentile 2017,Difference in medians,Percent difference from 2017
Inpatient Procedures,PTCA,0,Legacy Emanuel Med Ctr,19,18639,30888,42980,24,26873,36632,49869,-5744,-0.157
Inpatient Procedures,PTCA,0,Legacy Good Samaritan Med Ctr,21,27125,32023,39309,18,26321,30541,32566,1482,0.049
Inpatient Procedures,PTCA,0,Legacy Meridian Park Med Ctr,31,10145,31232,45477,25,28712,37249,46964,-6017,-0.162
Inpatient Procedures,PTCA,0,OHSU Hosp,20,29635,30496,39927,25,30621,35543,48566,-5047,-0.142
Inpatient Procedures,PTCA,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,37,46966,49844,53986,18,41811,48417,51421,1427,0.029
Inpatient Procedures,PTCA,0,Providence Medford Med Ctr,11,31120,34800,51281,,,,,,
Inpatient Procedures,PTCA,0,Providence Portland Med Ctr,47,32074,38948,40760,38,31392,38164,41374,784,0.021
Inpatient Procedures,PTCA,0,Providence St Vincent Med Ctr,64,34448,40092,49128,52,33764,38926,45566,1166,0.03
Inpatient Procedures,PTCA,0,Salem Health Salem Hosp,31,15829,21981,42960,43,15717,23602,36605,-1621,-0.069
Inpatient Procedures,PTCA,0,St Charles Med Ctr-Bend,27,45380,48895,61798,39,37009,46536,61798,2359,0.051
Inpatient Procedures,PTCA,0,Tuality Comm Hosp,13,34386,38398,57574,10,27594,33972,39781,4426,0.13
Inpatient Procedures,Shoulder replacement,1,Statewide,173,32889,38477,45898,183,34513,38355,46384,122,0.003
Inpatient Procedures,Shoulder replacement,0,Good Samaritan Regional Med Ctr,10,38623,41996,46384,,,,,,
Inpatient Procedures,Shoulder replacement,0,Kaiser Sunnyside Med Ctr,18,35503,35503,35503,21,37076,37076,37333,-1573,-0.042
Inpatient Procedures,Shoulder replacement,0,OHSU Hosp,17,29778,34034,36818,12,34677,35372,37014,-1338,-0.038
Inpatient Procedures,Shoulder replacement,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,19,47122,53474,53875,28,43966,50406,53103,3068,0.061
Inpatient Procedures,Shoulder replacement,0,Providence St Vincent Med Ctr,17,41176,44348,45514,24,23289,41599,44141,2749,0.066
Inpatient Procedures,Shoulder replacement,0,Salem Health Salem Hosp,16,17988,18176,21779,19,17730,17998,44391,178,0.01
Inpatient Procedures,Shoulder replacement,0,St Charles Med Ctr-Bend,20,36921,48426,51399,14,39110,49896,52529,-1470,-0.029
Inpatient Procedures,Skin I&D,1,Statewide,160,15008,18409,30349,140,12993,19059,27955,-650,-0.034
Inpatient Procedures,Skin I&D,0,Kaiser Sunnyside Med Ctr,33,17907,22761,33879,30,13083,17363,25361,5398,0.311
Inpatient Procedures,Skin I&D,0,OHSU Hosp,20,13358,17545,19986,12,12614,23883,27001,-6338,-0.265
Inpatient Procedures,Skin I&D,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,17,16930,29879,44646,10,17422,26544,32572,3335,0.126
Inpatient Procedures,Skin I&D,0,Providence Portland Med Ctr,14,13057,18598,25453,,,,,,
Inpatient Procedures,Skin I&D,0,Providence St Vincent Med Ctr,12,13741,16487,30413,13,9123,12731,31454,3756,0.295
Inpatient Procedures,Skin I&D,0,Salem Health Salem Hosp,17,6956,15657,29760,,,,,,
Inpatient Procedures,Spinal fusion,1,Statewide,812,43112,59069,79610,764,41489,58679,75799,390,0.007
Inpatient Procedures,Spinal fusion,0,Adventist Med Ctr,17,50668,51340,54904,28,28878,40108,50507,11232,0.28
Inpatient Procedures,Spinal fusion,0,Asante Rogue Valley Med Ctr,38,52997,69555,103222,42,43512,60567,81427,8988,0.148
Inpatient Procedures,Spinal fusion,0,Good Samaritan Regional Med Ctr,16,62433,75536,93434,10,88652,100771,110878,-25235,-0.25
Inpatient Procedures,Spinal fusion,0,Kaiser Sunnyside Med Ctr,115,41745,58738,59069,83,44295,61381,65470,-2643,-0.043
Inpatient Procedures,Spinal fusion,0,Legacy Emanuel Med Ctr,15,39578,78196,95544,30,33259,47305,89065,30891,0.653
Inpatient Procedures,Spinal fusion,0,Legacy Meridian Park Med Ctr,45,26195,38952,49590,41,28932,36275,43013,2677,0.074
Inpatient Procedures,Spinal fusion,0,McKenzie-Willamette Med Ctr,29,56689,71164,90011,26,49947,69615,72538,1549,0.022
Inpatient Procedures,Spinal fusion,0,OHSU Hosp,89,57172,67103,85118,67,55951,74745,102696,-7642,-0.102
Inpatient Procedures,Spinal fusion,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,82,57475,83002,103626,80,51295,68956,92051,14046,0.204
Inpatient Procedures,Spinal fusion,0,Providence Medford Med Ctr,26,49900,63303,74700,34,36534,58245,90366,5058,0.087
Inpatient Procedures,Spinal fusion,0,Providence Portland Med Ctr,61,39547,57738,92644,59,38564,44816,73078,12922,0.288
Inpatient Procedures,Spinal fusion,0,Providence St Vincent Med Ctr,109,39567,54009,71389,102,42117,58646,73078,-4637,-0.079
Inpatient Procedures,Spinal fusion,0,Providence Willamette Falls Med Ctr,42,47673,54009,75352,35,42297,50747,59701,3262,0.064
Inpatient Procedures,Spinal fusion,0,Salem Health Salem Hosp,31,29687,56512,75882,20,31975,53286,77912,3226,0.061
Inpatient Procedures,Spinal fusion,0,Shriners Hosp for Children-Portland,15,50005,52036,60254,22,50005,61474,70270,-9438,-0.154
Inpatient Procedures,Spinal fusion,0,St Charles Med Ctr-Bend,44,49369,77078,99259,56,41981,69195,84575,7883,0.114
Inpatient Procedures,Spinal fusion,0,Tuality Comm Hosp,23,38806,51361,72870,,,,,,
Inpatient Procedures,Spinal tap,1,Statewide,307,12469,20088,33910,298,11965,17537,28093,2551,0.145
Inpatient Procedures,Spinal tap,0,Kaiser Sunnyside Med Ctr,34,15429,20300,26812,33,14794,26110,32954,-5810,-0.223
Inpatient Procedures,Spinal tap,0,Kaiser Westside Med Ctr,16,12081,17124,26919,15,10773,14764,24585,2360,0.16
Inpatient Procedures,Spinal tap,0,Legacy Emanuel Med Ctr,25,10124,22946,45764,25,13054,21058,43584,1888,0.09
Inpatient Procedures,Spinal tap,0,OHSU Hosp,60,9854,22061,41124,59,10188,13382,23435,8679,0.649
Inpatient Procedures,Spinal tap,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,20,18003,36639,53512,11,19021,22843,31230,13796,0.604
Inpatient Procedures,Spinal tap,0,Providence Portland Med Ctr,22,14999,32796,41748,18,12934,19895,30718,12901,0.648
Inpatient Procedures,Spinal tap,0,Providence St Vincent Med Ctr,37,7318,15187,22478,39,12134,16087,23448,-900,-0.056
Inpatient Procedures,Spinal tap,0,Salem Health Salem Hosp,30,7734,16164,24732,18,6868,14115,18853,2049,0.145
Inpatient Procedures,Spinal tap,0,St Charles Med Ctr-Bend,13,17171,34459,36839,20,13134,19650,31689,14809,0.754
Inpatient Procedures,Thoracentesis,1,Statewide,227,13915,21112,31803,232,13381,20635,29747,477,0.023
Inpatient Procedures,Thoracentesis,0,Kaiser Sunnyside Med Ctr,40,15461,21592,26669,29,23878,27172,28486,-5580,-0.205
Inpatient Procedures,Thoracentesis,0,Legacy Emanuel Med Ctr,14,12995,17343,49496,19,19423,30059,70986,-12716,-0.423
Inpatient Procedures,Thoracentesis,0,OHSU Hosp,24,18227,31432,44957,24,13893,19772,36922,11660,0.59
Inpatient Procedures,Thoracentesis,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,23,18001,25373,37505,23,19726,26763,35243,-1390,-0.052
Inpatient Procedures,Thoracentesis,0,Providence Portland Med Ctr,12,12394,22582,28548,18,12778,19312,23377,3270,0.169
Inpatient Procedures,Thoracentesis,0,Providence St Vincent Med Ctr,13,13962,20584,32197,,,,,,
Inpatient Procedures,Thoracentesis,0,Salem Health Salem Hosp,17,8444,12560,33732,16,9963,11344,15100,1216,0.107
Inpatient Procedures,Thoracentesis,0,St Charles Med Ctr-Bend,19,11000,18404,67337,11,6077,27548,33554,-9144,-0.332
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,1,Statewide,1911,142,213,502,2201,131,222,484,-9,-0.041
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Adventist Tillamook Reg Med Ctr,35,189,189,193,,,,,,
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Asante Rogue Valley Med Ctr,28,276,643,760,12,527,668,682,-25,-0.037
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Columbia Mem Hosp,32,404,404,612,14,157,225,317,179,0.796
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Good Samaritan Regional Med Ctr,54,130,139,247,123,123,127,141,12,0.094
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Grande Ronde Hosp,19,97,97,208,,,,,,
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Legacy Emanuel Med Ctr,35,375,388,388,49,346,375,556,13,0.035
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Mid-Columbia Med Ctr,19,129,131,131,19,131,131,139,0,0
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,OHSU Hosp,1069,159,268,560,1232,158,302,540,-34,-0.113
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Providence Hood River Mem Hosp,42,87,125,145,,,,,,
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Providence Portland Med Ctr,342,97,125,239,428,106,130,225,-5,-0.038
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Salem Health Salem Hosp,12,13,13,13,14,12,18,35,-5,-0.278
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Samaritan Albany Gen Hosp,16,121,125,202,58,127,134,157,-9,-0.067
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Samaritan Lebanon Comm Hosp,13,126,132,132,28,123,252,258,-120,-0.476
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Samaritan Pacific Comm Hosp,32,126,129,132,12,117,126,129,3,0.024
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Sky Lakes Med Ctr,13,214,234,409,31,229,264,264,-30,-0.114
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,St Charles Med Ctr-Bend,78,94,105,308,128,100,113,280,-8,-0.071
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Tuality Comm Hosp,35,526,526,536,,,,,,
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,1,Statewide,8714,381,477,689,8493,358,451,701,26,0.058
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Adventist Med Ctr,15,367,575,675,,,,,,
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Adventist Tillamook Reg Med Ctr,42,523,523,528,38,458,503,528,20,0.04
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Asante Rogue Valley Med Ctr,174,802,1000,1201,139,589,1012,1012,-12,-0.012
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Asante Three Rivers Med Ctr,25,756,1084,1118,26,589,858,1039,226,0.263
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Blue Mountain Hosp,11,692,714,714,,,,,,
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Columbia Mem Hosp,128,751,751,768,97,719,768,768,-17,-0.022
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Good Samaritan Regional Med Ctr,434,330,359,375,417,331,345,553,14,0.041
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Grande Ronde Hosp,70,312,325,325,59,300,300,313,25,0.083
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Harney District Hosp,11,443,443,458,,,,,,
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Kaiser Sunnyside Med Ctr,34,9,9,10,42,9,277,355,-268,-0.968
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Legacy Emanuel Med Ctr,177,459,580,627,110,411,516,747,64,0.124
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Legacy Silverton Med Ctr,17,62,467,511,,,,,,
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Mercy Med Ctr,16,490,571,585,34,448,467,571,104,0.223
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Mid-Columbia Med Ctr,84,518,547,899,134,373,380,899,167,0.439
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,OHSU Hosp,2868,454,515,813,2779,444,490,795,25,0.051
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,116,346,672,741,,,,,,
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,PeaceHealth Sacred Heart Med Ctr-University,78,346,685,737,221,300,701,737,-16,-0.023
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Providence Hood River Mem Hosp,74,477,547,547,135,430,430,489,117,0.272
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Providence Medford Med Ctr,76,432,536,876,62,165,423,1158,113,0.267
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Providence Newberg Med Ctr,29,165,478,482,,,,,,
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Providence Portland Med Ctr,2480,381,401,406,2378,340,359,409,42,0.117
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Providence Seaside Hosp,43,165,606,606,36,491,546,552,60,0.11
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Providence St Vincent Med Ctr,88,165,483,641,32,429,600,600,-117,-0.195
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Salem Health Salem Hosp,78,329,333,333,56,446,446,446,-113,-0.253
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Salem Health West Valley Hosp,33,563,581,601,21,581,811,865,-230,-0.284
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Samaritan Albany Gen Hosp,112,330,340,378,152,324,331,331,9,0.027
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Samaritan Lebanon Comm Hosp,157,340,340,340,183,308,331,331,9,0.027
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Samaritan North Lincoln Hosp,47,340,340,340,68,321,324,331,16,0.049
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Samaritan Pacific Comm Hosp,52,317,330,340,67,308,324,331,6,0.019
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Sky Lakes Med Ctr,167,683,839,956,133,731,746,861,93,0.125
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,St Alphonsus Med Ctr-Baker City,20,573,622,631,56,573,622,622,0,0
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,St Alphonsus Med Ctr-Ontario,26,726,726,726,19,685,685,685,41,0.06
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,St Anthony Hospital,35,340,404,425,96,340,384,404,20,0.052
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,St Charles Med Ctr-Bend,754,496,607,744,653,451,571,678,36,0.063
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Tuality Comm Hosp,91,208,311,1160,165,637,798,920,-487,-0.61
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Wallowa Mem Hosp,17,468,472,491,26,445,447,468,25,0.056
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,1,Statewide,3435,150,361,447,3861,142,321,438,40,0.125
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Adventist Med Ctr,50,242,257,257,43,223,265,323,-8,-0.03
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Asante Rogue Valley Med Ctr,123,491,506,1042,158,433,433,458,73,0.169
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Asante Three Rivers Med Ctr,55,421,471,1088,119,437,449,1042,22,0.049
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Columbia Mem Hosp,72,393,393,402,,,,,,
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Good Samaritan Regional Med Ctr,264,443,463,481,268,440,454,477,9,0.02
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Legacy Good Samaritan Med Ctr,235,344,385,428,178,333,364,476,21,0.058
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Legacy Mount Hood Med Ctr,84,301,385,385,54,344,364,476,21,0.058
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Mid-Columbia Med Ctr,55,651,687,687,86,604,614,648,73,0.119
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,OHSU Hosp,477,311,379,407,558,314,358,412,21,0.059
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,10,308,630,826,,,,,,
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Providence Medford Med Ctr,119,426,454,515,185,338,444,492,10,0.023
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Providence Portland Med Ctr,417,147,150,270,589,141,142,246,8,0.056
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Providence St Vincent Med Ctr,597,147,150,361,647,141,142,246,8,0.056
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Salem Health Salem Hosp,334,138,138,334,346,130,130,393,8,0.062
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Sky Lakes Med Ctr,54,604,658,667,26,615,615,628,43,0.07
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,St Charles Med Ctr-Bend,353,94,104,447,419,88,321,535,-217,-0.676
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Tuality Comm Hosp,48,289,326,326,88,322,326,468,0,0
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Willamette Valley Med Ctr,88,305,372,372,94,321,346,346,26,0.075
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,1,Statewide,9887,534,629,680,10683,533,605,661,24,0.04
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Adventist Med Ctr,196,424,424,636,134,389,453,562,-29,-0.064
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Asante Rogue Valley Med Ctr,431,697,741,888,477,719,753,753,-12,-0.016
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Asante Three Rivers Med Ctr,231,728,741,800,494,697,741,773,0,0
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Columbia Mem Hosp,208,853,891,910,,,,,,
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Good Samaritan Regional Med Ctr,728,561,586,664,1012,550,571,652,15,0.026
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Legacy Good Samaritan Med Ctr,670,622,675,746,507,601,633,831,42,0.066
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Legacy Mount Hood Med Ctr,236,622,675,675,211,601,714,831,-39,-0.055
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Mid-Columbia Med Ctr,161,577,929,980,207,577,772,772,157,0.203
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,OHSU Hosp,1158,564,615,665,1105,539,586,626,29,0.049
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Providence Medford Med Ctr,281,553,628,748,589,534,600,611,28,0.047
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Providence Portland Med Ctr,953,474,641,675,1461,439,616,649,25,0.041
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Providence St Vincent Med Ctr,1872,474,641,675,1647,439,649,649,-8,-0.012
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Salem Health Salem Hosp,1210,241,241,315,949,226,226,226,15,0.066
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Sky Lakes Med Ctr,206,606,727,946,64,618,640,946,87,0.136
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,St Charles Med Ctr-Bend,901,489,642,720,1255,462,559,618,83,0.148
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Tuality Comm Hosp,135,591,591,857,307,579,596,813,-5,-0.008
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Willamette Valley Med Ctr,310,534,653,653,239,547,602,602,51,0.085
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,1,Statewide,1753,354,801,1298,1823,345,809,1183,-8,-0.01
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Adventist Med Ctr,26,699,1248,1872,19,592,856,1713,392,0.458
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Asante Rogue Valley Med Ctr,76,685,1232,2529,72,802,1148,2087,84,0.073
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Asante Three Rivers Med Ctr,42,715,1114,2427,69,987,1132,2188,-18,-0.016
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Columbia Mem Hosp,29,418,427,853,,,,,,
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Good Samaritan Regional Med Ctr,136,470,745,2930,148,456,910,3123,-165,-0.181
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Legacy Good Samaritan Med Ctr,128,500,799,1373,75,433,789,1327,10,0.013
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Legacy Mount Hood Med Ctr,43,552,992,1017,30,394,964,1578,28,0.029
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Mid-Columbia Med Ctr,17,1080,1140,1317,30,956,1026,2052,114,0.111
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,OHSU Hosp,236,696,964,1881,271,602,950,1805,14,0.015
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,10,991,1841,1841,,,,,,
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Providence Medford Med Ctr,50,798,942,2719,85,866,1067,2597,-125,-0.117
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Providence Portland Med Ctr,211,135,267,558,238,158,316,675,-49,-0.155
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Providence St Vincent Med Ctr,255,136,270,958,236,158,275,669,-5,-0.018
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Salem Health Salem Hosp,174,354,709,860,163,345,689,1041,20,0.029
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Sky Lakes Med Ctr,36,957,1272,2290,22,1066,1189,1421,83,0.07
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,St Charles Med Ctr-Bend,198,331,988,1153,275,282,845,1117,143,0.169
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Tuality Comm Hosp,26,887,1260,2661,52,711,1011,1598,249,0.246
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Willamette Valley Med Ctr,60,785,960,1276,36,611,917,917,43,0.047
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,1,Statewide,2149,381,964,2795,2210,360,929,2751,35,0.038
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Adventist Med Ctr,32,624,968,2291,20,592,937,2334,31,0.033
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Asante Rogue Valley Med Ctr,60,990,1304,4718,73,866,1170,3928,134,0.115
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Asante Three Rivers Med Ctr,39,942,1214,4321,74,874,1165,3917,49,0.042
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Columbia Mem Hosp,33,348,1023,4364,,,,,,
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Good Samaritan Regional Med Ctr,145,979,1714,3465,147,1073,1624,3502,90,0.055
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Legacy Good Samaritan Med Ctr,168,639,1226,3170,103,600,1191,3298,35,0.029
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Legacy Mount Hood Med Ctr,47,766,1188,3644,29,556,964,1525,224,0.232
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Mid-Columbia Med Ctr,28,676,2427,6524,43,863,1720,7531,707,0.411
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,OHSU Hosp,288,734,1122,3301,348,743,1437,3209,-315,-0.219
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,23,505,1740,6618,10,4031,4031,4381,-2291,-0.568
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Providence Medford Med Ctr,72,899,1475,4336,92,910,1600,4303,-125,-0.078
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Providence Portland Med Ctr,315,130,408,1594,356,122,367,1007,41,0.112
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Providence St Vincent Med Ctr,345,127,361,887,317,122,253,771,108,0.427
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Salem Health Salem Hosp,204,354,1264,1302,196,345,864,1180,400,0.463
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Sky Lakes Med Ctr,29,624,1421,1701,19,578,1495,5353,-74,-0.049
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,St Charles Med Ctr-Bend,234,408,1005,2830,273,338,851,1926,154,0.181
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Tuality Comm Hosp,35,653,1306,3122,63,887,1403,2959,-97,-0.069
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Willamette Valley Med Ctr,52,765,1562,3526,44,667,1211,3138,351,0.29
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,1,Statewide,919,309,651,739,951,297,651,710,0,0
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,Columbia Mem Hosp,18,759,759,759,,,,,,
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,Good Samaritan Regional Med Ctr,91,241,244,252,170,247,247,247,-3,-0.012
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,Legacy Good Samaritan Med Ctr,35,344,344,391,,,,,,
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,Mid-Columbia Med Ctr,23,1024,1081,1081,10,1024,1070,1070,11,0.01
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,OHSU Hosp,65,581,581,651,88,488,562,581,19,0.034
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,Providence Portland Med Ctr,115,701,739,739,271,674,710,710,29,0.041
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,Providence St Vincent Med Ctr,422,309,739,739,246,297,710,710,29,0.041
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,Salem Health Salem Hosp,10,168,168,168,12,308,308,308,-140,-0.455
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,St Charles Med Ctr-Bend,131,595,661,661,128,540,636,699,25,0.039
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,1,Statewide,6443,1470,1734,2105,7578,1431,1785,2089,-51,-0.029
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Adventist Med Ctr,110,1009,1211,1211,76,1190,1275,1359,-64,-0.05
