Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018"
Inpatient Procedures,PTCA,0,Kaiser Sunnyside Med Ctr,99,30951,30951,42283
Inpatient Procedures,PTCA,0,Legacy Emanuel Med Ctr,19,18639,30888,42980
Inpatient Procedures,PTCA,0,Legacy Good Samaritan Med Ctr,21,27125,32023,39309
Inpatient Procedures,PTCA,0,Legacy Meridian Park Med Ctr,31,10145,31232,45477
Inpatient Procedures,PTCA,0,OHSU Hosp,20,29635,30496,39927
Inpatient Procedures,PTCA,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,37,46966,49844,53986
Inpatient Procedures,PTCA,0,Providence Medford Med Ctr,11,31120,34800,51281
Inpatient Procedures,PTCA,0,Providence Portland Med Ctr,47,32074,38948,40760
Inpatient Procedures,PTCA,0,Providence St Vincent Med Ctr,64,34448,40092,49128
Inpatient Procedures,PTCA,0,Salem Health Salem Hosp,31,15829,21981,42960
Inpatient Procedures,PTCA,0,St Charles Med Ctr-Bend,27,45380,48895,61798
Inpatient Procedures,PTCA,0,Tuality Comm Hosp,13,34386,38398,57574
Inpatient Procedures,Shoulder replacement,1,Statewide,173,32889,38477,45898
Inpatient Procedures,Shoulder replacement,0,Good Samaritan Regional Med Ctr,10,38623,41996,46384
Inpatient Procedures,Shoulder replacement,0,Kaiser Sunnyside Med Ctr,18,35503,35503,35503
Inpatient Procedures,Shoulder replacement,0,OHSU Hosp,17,29778,34034,36818
Inpatient Procedures,Shoulder replacement,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,19,47122,53474,53875
Inpatient Procedures,Shoulder replacement,0,Providence St Vincent Med Ctr,17,41176,44348,45514
Inpatient Procedures,Shoulder replacement,0,Salem Health Salem Hosp,16,17988,18176,21779
Inpatient Procedures,Shoulder replacement,0,St Charles Med Ctr-Bend,20,36921,48426,51399
Inpatient Procedures,Skin I&D,1,Statewide,160,15008,18409,30349
Inpatient Procedures,Skin I&D,0,Kaiser Sunnyside Med Ctr,33,17907,22761,33879
Inpatient Procedures,Skin I&D,0,OHSU Hosp,20,13358,17545,19986
Inpatient Procedures,Skin I&D,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,17,16930,29879,44646
Inpatient Procedures,Skin I&D,0,Providence Portland Med Ctr,14,13057,18598,25453
Inpatient Procedures,Skin I&D,0,Providence St Vincent Med Ctr,12,13741,16487,30413
Inpatient Procedures,Skin I&D,0,Salem Health Salem Hosp,17,6956,15657,29760
Inpatient Procedures,Spinal fusion,1,Statewide,812,43112,59069,79610
Inpatient Procedures,Spinal fusion,0,Adventist Med Ctr,17,50668,51340,54904
Inpatient Procedures,Spinal fusion,0,Asante Rogue Valley Med Ctr,38,52997,69555,103222
Inpatient Procedures,Spinal fusion,0,Good Samaritan Regional Med Ctr,16,62433,75536,93434
Inpatient Procedures,Spinal fusion,0,Kaiser Sunnyside Med Ctr,115,41745,58738,59069
Inpatient Procedures,Spinal fusion,0,Legacy Emanuel Med Ctr,15,39578,78196,95544
Inpatient Procedures,Spinal fusion,0,Legacy Meridian Park Med Ctr,45,26195,38952,49590
Inpatient Procedures,Spinal fusion,0,McKenzie-Willamette Med Ctr,29,56689,71164,90011
Inpatient Procedures,Spinal fusion,0,OHSU Hosp,89,57172,67103,85118
Inpatient Procedures,Spinal fusion,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,82,57475,83002,103626
Inpatient Procedures,Spinal fusion,0,Providence Medford Med Ctr,26,49900,63303,74700
Inpatient Procedures,Spinal fusion,0,Providence Portland Med Ctr,61,39547,57738,92644
Inpatient Procedures,Spinal fusion,0,Providence St Vincent Med Ctr,109,39567,54009,71389
Inpatient Procedures,Spinal fusion,0,Providence Willamette Falls Med Ctr,42,47673,54009,75352
Inpatient Procedures,Spinal fusion,0,Salem Health Salem Hosp,31,29687,56512,75882
Inpatient Procedures,Spinal fusion,0,Shriners Hosp for Children-Portland,15,50005,52036,60254
Inpatient Procedures,Spinal fusion,0,St Charles Med Ctr-Bend,44,49369,77078,99259
Inpatient Procedures,Spinal fusion,0,Tuality Comm Hosp,23,38806,51361,72870
Inpatient Procedures,Spinal tap,1,Statewide,307,12469,20088,33910
Inpatient Procedures,Spinal tap,0,Kaiser Sunnyside Med Ctr,34,15429,20300,26812
Inpatient Procedures,Spinal tap,0,Kaiser Westside Med Ctr,16,12081,17124,26919
Inpatient Procedures,Spinal tap,0,Legacy Emanuel Med Ctr,25,10124,22946,45764
Inpatient Procedures,Spinal tap,0,OHSU Hosp,60,9854,22061,41124
Inpatient Procedures,Spinal tap,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,20,18003,36639,53512
Inpatient Procedures,Spinal tap,0,Providence Portland Med Ctr,22,14999,32796,41748
Inpatient Procedures,Spinal tap,0,Providence St Vincent Med Ctr,37,7318,15187,22478
Inpatient Procedures,Spinal tap,0,Salem Health Salem Hosp,30,7734,16164,24732
Inpatient Procedures,Spinal tap,0,St Charles Med Ctr-Bend,13,17171,34459,36839
Inpatient Procedures,Thoracentesis,1,Statewide,227,13915,21112,31803
Inpatient Procedures,Thoracentesis,0,Kaiser Sunnyside Med Ctr,40,15461,21592,26669
Inpatient Procedures,Thoracentesis,0,Legacy Emanuel Med Ctr,14,12995,17343,49496
Inpatient Procedures,Thoracentesis,0,OHSU Hosp,24,18227,31432,44957
Inpatient Procedures,Thoracentesis,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,23,18001,25373,37505
Inpatient Procedures,Thoracentesis,0,Providence Portland Med Ctr,12,12394,22582,28548
Inpatient Procedures,Thoracentesis,0,Providence St Vincent Med Ctr,13,13962,20584,32197
Inpatient Procedures,Thoracentesis,0,Salem Health Salem Hosp,17,8444,12560,33732
Inpatient Procedures,Thoracentesis,0,St Charles Med Ctr-Bend,19,11000,18404,67337
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,1,Statewide,1911,142,213,502
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Adventist Tillamook Reg Med Ctr,35,189,189,193
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Asante Rogue Valley Med Ctr,28,276,643,760
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Columbia Mem Hosp,32,404,404,612
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Good Samaritan Regional Med Ctr,54,130,139,247
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Grande Ronde Hosp,19,97,97,208
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Legacy Emanuel Med Ctr,35,375,388,388
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Mid-Columbia Med Ctr,19,129,131,131
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,OHSU Hosp,1069,159,268,560
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Providence Hood River Mem Hosp,42,87,125,145
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Providence Portland Med Ctr,342,97,125,239
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Salem Health Salem Hosp,12,13,13,13
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Samaritan Albany Gen Hosp,16,121,125,202
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Samaritan Lebanon Comm Hosp,13,126,132,132
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Samaritan Pacific Comm Hosp,32,126,129,132
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Sky Lakes Med Ctr,13,214,234,409
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,St Charles Med Ctr-Bend,78,94,105,308
Outpatient Radiation and Chemotherapy,Chemotherapy: Injection,0,Tuality Comm Hosp,35,526,526,536
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,1,Statewide,8714,381,477,689
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Adventist Med Ctr,15,367,575,675
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Adventist Tillamook Reg Med Ctr,42,523,523,528
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Asante Rogue Valley Med Ctr,174,802,1000,1201
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Asante Three Rivers Med Ctr,25,756,1084,1118
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Blue Mountain Hosp,11,692,714,714
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Columbia Mem Hosp,128,751,751,768
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Good Samaritan Regional Med Ctr,434,330,359,375
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Grande Ronde Hosp,70,312,325,325
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Harney District Hosp,11,443,443,458
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Kaiser Sunnyside Med Ctr,34,9,9,10
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Legacy Emanuel Med Ctr,177,459,580,627
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Legacy Silverton Med Ctr,17,62,467,511
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Mercy Med Ctr,16,490,571,585
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Mid-Columbia Med Ctr,84,518,547,899
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,OHSU Hosp,2868,454,515,813
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,116,346,672,741
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,PeaceHealth Sacred Heart Med Ctr-University,78,346,685,737
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Providence Hood River Mem Hosp,74,477,547,547
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Providence Medford Med Ctr,76,432,536,876
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Providence Newberg Med Ctr,29,165,478,482
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Providence Portland Med Ctr,2480,381,401,406
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Providence Seaside Hosp,43,165,606,606
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Providence St Vincent Med Ctr,88,165,483,641
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Salem Health Salem Hosp,78,329,333,333
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Salem Health West Valley Hosp,33,563,581,601
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Samaritan Albany Gen Hosp,112,330,340,378
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Samaritan Lebanon Comm Hosp,157,340,340,340
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Samaritan North Lincoln Hosp,47,340,340,340
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Samaritan Pacific Comm Hosp,52,317,330,340
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Sky Lakes Med Ctr,167,683,839,956
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,St Alphonsus Med Ctr-Baker City,20,573,622,631
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,St Alphonsus Med Ctr-Ontario,26,726,726,726
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,St Anthony Hospital,35,340,404,425
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,St Charles Med Ctr-Bend,754,496,607,744
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Tuality Comm Hosp,91,208,311,1160
Outpatient Radiation and Chemotherapy,Chemotherapy: IV infusion,0,Wallowa Mem Hosp,17,468,472,491
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,1,Statewide,3435,150,361,447
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Adventist Med Ctr,50,242,257,257
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Asante Rogue Valley Med Ctr,123,491,506,1042
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Asante Three Rivers Med Ctr,55,421,471,1088
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Columbia Mem Hosp,72,393,393,402
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Good Samaritan Regional Med Ctr,264,443,463,481
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Legacy Good Samaritan Med Ctr,235,344,385,428
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Legacy Mount Hood Med Ctr,84,301,385,385
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Mid-Columbia Med Ctr,55,651,687,687
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,OHSU Hosp,477,311,379,407
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,10,308,630,826
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Providence Medford Med Ctr,119,426,454,515
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Providence Portland Med Ctr,417,147,150,270
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Providence St Vincent Med Ctr,597,147,150,361
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Salem Health Salem Hosp,334,138,138,334
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Sky Lakes Med Ctr,54,604,658,667
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,St Charles Med Ctr-Bend,353,94,104,447
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Tuality Comm Hosp,48,289,326,326
Outpatient Radiation and Chemotherapy,Radiation treatment: Consult,0,Willamette Valley Med Ctr,88,305,372,372
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,1,Statewide,9887,534,629,680
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Adventist Med Ctr,196,424,424,636
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Asante Rogue Valley Med Ctr,431,697,741,888
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Asante Three Rivers Med Ctr,231,728,741,800
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Columbia Mem Hosp,208,853,891,910
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Good Samaritan Regional Med Ctr,728,561,586,664
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Legacy Good Samaritan Med Ctr,670,622,675,746
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Legacy Mount Hood Med Ctr,236,622,675,675
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Mid-Columbia Med Ctr,161,577,929,980
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,OHSU Hosp,1158,564,615,665
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Providence Medford Med Ctr,281,553,628,748
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Providence Portland Med Ctr,953,474,641,675
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Providence St Vincent Med Ctr,1872,474,641,675
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Salem Health Salem Hosp,1210,241,241,315
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Sky Lakes Med Ctr,206,606,727,946
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,St Charles Med Ctr-Bend,901,489,642,720
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Tuality Comm Hosp,135,591,591,857
Outpatient Radiation and Chemotherapy,Radiation treatment: Delivery,0,Willamette Valley Med Ctr,310,534,653,653
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,1,Statewide,1753,354,801,1298
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Adventist Med Ctr,26,699,1248,1872
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Asante Rogue Valley Med Ctr,76,685,1232,2529
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Asante Three Rivers Med Ctr,42,715,1114,2427
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Columbia Mem Hosp,29,418,427,853
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Good Samaritan Regional Med Ctr,136,470,745,2930
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Legacy Good Samaritan Med Ctr,128,500,799,1373
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Legacy Mount Hood Med Ctr,43,552,992,1017
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Mid-Columbia Med Ctr,17,1080,1140,1317
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,OHSU Hosp,236,696,964,1881
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,10,991,1841,1841
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Providence Medford Med Ctr,50,798,942,2719
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Providence Portland Med Ctr,211,135,267,558
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Providence St Vincent Med Ctr,255,136,270,958
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Salem Health Salem Hosp,174,354,709,860
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Sky Lakes Med Ctr,36,957,1272,2290
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,St Charles Med Ctr-Bend,198,331,988,1153
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Tuality Comm Hosp,26,887,1260,2661
Outpatient Radiation and Chemotherapy,Radiation treatment: Devices,0,Willamette Valley Med Ctr,60,785,960,1276
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,1,Statewide,2149,381,964,2795
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Adventist Med Ctr,32,624,968,2291
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Asante Rogue Valley Med Ctr,60,990,1304,4718
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Asante Three Rivers Med Ctr,39,942,1214,4321
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Columbia Mem Hosp,33,348,1023,4364
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Good Samaritan Regional Med Ctr,145,979,1714,3465
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Legacy Good Samaritan Med Ctr,168,639,1226,3170
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Legacy Mount Hood Med Ctr,47,766,1188,3644
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Mid-Columbia Med Ctr,28,676,2427,6524
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,OHSU Hosp,288,734,1122,3301
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,23,505,1740,6618
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Providence Medford Med Ctr,72,899,1475,4336
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Providence Portland Med Ctr,315,130,408,1594
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Providence St Vincent Med Ctr,345,127,361,887
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Salem Health Salem Hosp,204,354,1264,1302
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Sky Lakes Med Ctr,29,624,1421,1701
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,St Charles Med Ctr-Bend,234,408,1005,2830
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Tuality Comm Hosp,35,653,1306,3122
Outpatient Radiation and Chemotherapy,Radiation treatment: Dosimetry,0,Willamette Valley Med Ctr,52,765,1562,3526
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,1,Statewide,919,309,651,739
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,Columbia Mem Hosp,18,759,759,759
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,Good Samaritan Regional Med Ctr,91,241,244,252
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,Legacy Good Samaritan Med Ctr,35,344,344,391
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,Mid-Columbia Med Ctr,23,1024,1081,1081
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,OHSU Hosp,65,581,581,651
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,Providence Portland Med Ctr,115,701,739,739
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,Providence St Vincent Med Ctr,422,309,739,739
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,Salem Health Salem Hosp,10,168,168,168
Outpatient Radiation and Chemotherapy,Radiation treatment: Guidance,0,St Charles Med Ctr-Bend,131,595,661,661
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,1,Statewide,6443,1470,1734,2105
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Adventist Med Ctr,110,1009,1211,1211
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Asante Rogue Valley Med Ctr,181,2109,2109,2492
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Asante Three Rivers Med Ctr,45,1962,1962,2357
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Columbia Mem Hosp,200,2481,2535,2575
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Good Samaritan Regional Med Ctr,570,1361,1402,1495
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Legacy Good Samaritan Med Ctr,343,1810,2019,2044
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Legacy Mount Hood Med Ctr,213,1604,1646,2175
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Mid-Columbia Med Ctr,103,2975,3510,3705
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,OHSU Hosp,974,1466,1587,1887
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Providence Medford Med Ctr,306,1776,2037,2197
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Providence Portland Med Ctr,846,1212,1968,2488
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Providence St Vincent Med Ctr,942,1520,1955,2362
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Salem Health Salem Hosp,454,573,1391,1827
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Sky Lakes Med Ctr,59,1862,2093,2105
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,St Charles Med Ctr-Bend,870,1556,1560,1870
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Tuality Comm Hosp,84,115,1206,1537
Outpatient Radiation and Chemotherapy,Radiation treatment: IMRT,0,Willamette Valley Med Ctr,143,1269,1552,1552
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,1,Statewide,2132,145,450,846
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Adventist Med Ctr,25,242,399,624
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Asante Rogue Valley Med Ctr,85,243,528,920
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Asante Three Rivers Med Ctr,47,471,636,962
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Columbia Mem Hosp,46,126,132,968
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Good Samaritan Regional Med Ctr,118,425,531,855
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Legacy Good Samaritan Med Ctr,251,149,489,816
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Legacy Mount Hood Med Ctr,51,126,385,815
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Mid-Columbia Med Ctr,36,439,1127,2695
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,OHSU Hosp,262,122,570,978
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Providence Medford Med Ctr,74,204,455,1234
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Providence Portland Med Ctr,260,21,450,808
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Providence St Vincent Med Ctr,375,21,441,808
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Salem Health Salem Hosp,193,138,334,354
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Sky Lakes Med Ctr,52,224,812,1421
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,St Charles Med Ctr-Bend,183,127,419,1017
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Tuality Comm Hosp,27,410,507,887
Outpatient Radiation and Chemotherapy,Radiation treatment: Sims & film,0,Willamette Valley Med Ctr,47,372,785,960
Outpatient Surgical Procedures,Abdominal drainage,1,Statewide,603,1176,1449,1993
Outpatient Surgical Procedures,Abdominal drainage,0,Asante Rogue Valley Med Ctr,38,1703,1868,2230
Outpatient Surgical Procedures,Abdominal drainage,0,Good Samaritan Regional Med Ctr,11,748,748,1253
Outpatient Surgical Procedures,Abdominal drainage,0,Kaiser Sunnyside Med Ctr,62,1242,1256,1514
Outpatient Surgical Procedures,Abdominal drainage,0,Kaiser Westside Med Ctr,22,1256,1832,2187
Outpatient Surgical Procedures,Abdominal drainage,0,Legacy Good Samaritan Med Ctr,12,844,1301,1399
Outpatient Surgical Procedures,Abdominal drainage,0,Mercy Med Ctr,10,1703,2023,2023
Outpatient Surgical Procedures,Abdominal drainage,0,OHSU Hosp,32,1196,1842,2422
Outpatient Surgical Procedures,Abdominal drainage,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,29,1449,1675,1863
Outpatient Surgical Procedures,Abdominal drainage,0,Providence Medford Med Ctr,20,881,1361,1383
Outpatient Surgical Procedures,Abdominal drainage,0,Providence Newberg Med Ctr,13,2616,2616,2616
Outpatient Surgical Procedures,Abdominal drainage,0,Providence Portland Med Ctr,32,1574,1681,1965
Outpatient Surgical Procedures,Abdominal drainage,0,Providence St Vincent Med Ctr,70,1870,2202,2563
Outpatient Surgical Procedures,Abdominal drainage,0,Salem Health Salem Hosp,21,1076,1121,1124
Outpatient Surgical Procedures,Abdominal drainage,0,Samaritan Albany Gen Hosp,36,725,725,725
Outpatient Surgical Procedures,Abdominal drainage,0,Samaritan Lebanon Comm Hosp,11,748,748,748
Outpatient Surgical Procedures,Abdominal drainage,0,St Charles Med Ctr-Bend,56,574,1279,1344
Outpatient Surgical Procedures,Abdominal drainage,0,St Charles Med Ctr-Madras,23,1116,1176,1898
Outpatient Surgical Procedures,Abdominal drainage,0,St Charles Med Ctr-Redmond,57,1279,1279,1449
Outpatient Surgical Procedures,Appendectomy,1,Statewide,297,9408,12099,14618
Outpatient Surgical Procedures,Appendectomy,0,Kaiser Sunnyside Med Ctr,34,9124,10229,12449
Outpatient Surgical Procedures,Appendectomy,0,Kaiser Westside Med Ctr,44,9509,10423,12414
Outpatient Surgical Procedures,Appendectomy,0,Legacy Emanuel Med Ctr,12,8246,13188,14201
